SR Number,Activities,Change Date+Time
1-737366981,Accepted + In Progress,2012-05-01 15:15:13+01:00
1-737366981,Accepted + In Progress,2012-05-01 15:15:30+01:00
1-737366981,Completed + Resolved,2012-05-01 15:35:17+01:00
1-737366981,Completed + Closed,2012-05-09 00:11:52+01:00
1-737367003,Accepted + In Progress,2012-05-01 15:20:31+01:00
1-737367003,Accepted + In Progress,2012-05-01 15:20:47+01:00
1-737367003,Completed + Resolved,2012-05-01 15:22:39+01:00
1-737367003,Completed + Closed,2012-05-09 00:11:51+01:00
1-737367061,Accepted + In Progress,2012-05-01 15:33:24+01:00
1-737367061,Accepted + In Progress,2012-05-01 15:53:51+01:00
1-737367061,Queued + Awaiting Assignment,2012-05-01 16:25:34+01:00
1-737367061,Queued + Awaiting Assignment,2012-05-01 16:25:35+01:00
1-737367061,Accepted + In Progress,2012-05-02 09:39:18+01:00
1-737367061,Accepted + Assigned,2012-05-02 09:39:22+01:00
1-737367061,Accepted + In Progress,2012-05-02 11:13:37+01:00
1-737367061,Queued + Awaiting Assignment,2012-05-02 12:05:16+01:00
1-737367061,Accepted + In Progress,2012-05-02 12:17:14+01:00
1-737367061,Accepted + Assigned,2012-05-02 12:17:29+01:00
1-737367061,Accepted + In Progress,2012-05-02 14:28:11+01:00
1-737367061,Completed + Resolved,2012-05-02 15:15:48+01:00
1-737367061,Completed + Closed,2012-05-03 00:05:32+01:00
1-737367073,Accepted + In Progress,2012-05-01 16:04:13+01:00
1-737367073,Accepted + In Progress,2012-05-01 16:04:42+01:00
1-737367073,Completed + Resolved,2012-05-01 16:06:32+01:00
1-737367073,Completed + Closed,2012-05-09 00:11:49+01:00
1-737367162,Accepted + In Progress,2012-05-01 16:29:58+01:00
1-737367162,Accepted + In Progress,2012-05-01 16:31:38+01:00
1-737367162,Queued + Awaiting Assignment,2012-05-01 16:46:33+01:00
1-737367162,Accepted + In Progress,2012-05-02 09:35:22+01:00
1-737367162,Accepted + Assigned,2012-05-02 09:35:25+01:00
1-737367162,Accepted + In Progress,2012-05-02 10:06:11+01:00
1-737367162,Queued + Awaiting Assignment,2012-05-02 10:38:24+01:00
1-737367162,Accepted + In Progress,2012-05-02 10:46:15+01:00
1-737367162,Accepted + Assigned,2012-05-02 10:46:25+01:00
1-737367162,Accepted + In Progress,2012-05-02 14:59:13+01:00
1-737367162,Completed + Resolved,2012-05-02 15:23:26+01:00
1-737367162,Completed + Closed,2012-05-03 00:05:29+01:00
1-737367369,Accepted + In Progress,2012-05-01 17:29:34+01:00
1-737367369,Accepted + In Progress,2012-05-01 17:29:49+01:00
1-737367369,Accepted + Wait - Vendor,2012-05-01 17:34:39+01:00
1-737367369,Completed + Resolved,2012-05-02 16:00:37+01:00
1-737367369,Completed + Closed,2012-05-03 00:05:27+01:00
1-737367809,Accepted + In Progress,2012-05-01 21:03:13+01:00
1-737367809,Accepted + In Progress,2012-05-01 21:03:48+01:00
1-737367809,Completed + Resolved,2012-05-01 21:10:10+01:00
1-737367809,Completed + Closed,2012-05-02 00:03:00+01:00
1-737369009,Accepted + In Progress,2012-05-01 15:53:51+01:00
1-737369009,Accepted + In Progress,2012-05-01 15:55:00+01:00
1-737369009,Completed + In Call,2012-05-01 16:22:02+01:00
1-737369081,Accepted + In Progress,2012-05-01 15:22:12+01:00
1-737369081,Accepted + In Progress,2012-05-01 15:26:50+01:00
1-737369081,Queued + Awaiting Assignment,2012-05-01 15:27:17+01:00
1-737369081,Accepted + In Progress,2012-05-02 08:14:22+01:00
1-737369081,Completed + Resolved,2012-05-02 08:15:49+01:00
1-737369081,Completed + Closed,2012-05-10 00:15:46+01:00
1-737369385,Accepted + In Progress,2012-05-01 16:13:50+01:00
1-737369385,Accepted + In Progress,2012-05-01 16:20:31+01:00
1-737369385,Completed + In Call,2012-05-01 16:21:13+01:00
1-737369441,Accepted + In Progress,2012-05-01 16:24:25+01:00
1-737369441,Accepted + In Progress,2012-05-01 16:33:36+01:00
1-737369441,Completed + In Call,2012-05-01 16:34:34+01:00
1-737369560,Accepted + In Progress,2012-05-01 16:41:23+01:00
1-737369560,Accepted + In Progress,2012-05-01 16:42:35+01:00
1-737369560,Completed + In Call,2012-05-01 16:42:53+01:00
1-737369745,Accepted + In Progress,2012-05-01 17:12:50+01:00
1-737369745,Accepted + In Progress,2012-05-01 17:24:18+01:00
1-737369745,Completed + In Call,2012-05-01 17:25:47+01:00
1-737369759,Accepted + In Progress,2012-05-01 17:08:42+01:00
1-737369759,Accepted + In Progress,2012-05-01 17:09:30+01:00
1-737369759,Completed + In Call,2012-05-01 17:17:31+01:00
1-737369943,Accepted + In Progress,2012-05-01 15:47:27+01:00
1-737369943,Accepted + In Progress,2012-05-01 15:48:04+01:00
1-737369943,Queued + Awaiting Assignment,2012-05-01 16:23:14+01:00
1-737369943,Accepted + In Progress,2012-05-01 16:23:17+01:00
1-737369943,Completed + Resolved,2012-05-01 16:23:34+01:00
1-737369943,Completed + Closed,2012-05-02 00:03:07+01:00
1-737370099,Accepted + In Progress,2012-05-01 16:03:12+01:00
1-737370099,Accepted + In Progress,2012-05-01 16:05:22+01:00
1-737370099,Completed + In Call,2012-05-01 16:06:00+01:00
1-737370121,Accepted + In Progress,2012-05-01 16:06:17+01:00
1-737370121,Accepted + In Progress,2012-05-01 16:07:06+01:00
1-737370121,Queued + Awaiting Assignment,2012-05-01 16:28:23+01:00
1-737370121,Accepted + In Progress,2012-05-02 09:36:48+01:00
1-737370121,Accepted + Assigned,2012-05-02 09:36:52+01:00
1-737370121,Accepted + Assigned,2012-05-02 09:36:53+01:00
1-737370121,Accepted + In Progress,2012-05-02 10:14:40+01:00
1-737370121,Queued + Awaiting Assignment,2012-05-02 10:50:22+01:00
1-737370121,Accepted + In Progress,2012-05-02 10:59:50+01:00
1-737370121,Accepted + Assigned,2012-05-02 11:00:00+01:00
1-737370121,Accepted + In Progress,2012-05-02 14:40:55+01:00
1-737370121,Completed + Resolved,2012-05-02 15:20:14+01:00
1-737370121,Completed + Closed,2012-05-03 00:05:30+01:00
1-737370197,Accepted + In Progress,2012-05-01 16:30:19+01:00
1-737370197,Accepted + In Progress,2012-05-01 16:34:22+01:00
1-737370197,Queued + Awaiting Assignment,2012-05-01 16:47:43+01:00
1-737370197,Accepted + In Progress,2012-05-02 09:32:48+01:00
1-737370197,Accepted + Assigned,2012-05-02 09:32:54+01:00
1-737370197,Accepted + In Progress,2012-05-02 14:53:45+01:00
1-737370197,Accepted + Assigned,2012-05-02 14:56:09+01:00
1-737370197,Accepted + In Progress,2012-05-02 15:35:20+01:00
1-737370197,Queued + Awaiting Assignment,2012-05-02 15:36:03+01:00
1-737370197,Accepted + In Progress,2012-05-02 15:53:15+01:00
1-737370197,Accepted + Assigned,2012-05-02 15:53:26+01:00
1-737370197,Accepted + In Progress,2012-05-03 13:33:08+01:00
1-737370197,Completed + Resolved,2012-05-03 13:36:39+01:00
1-737370197,Completed + Closed,2012-05-04 00:07:28+01:00
1-737370205,Accepted + In Progress,2012-05-01 16:30:48+01:00
1-737370205,Accepted + In Progress,2012-05-01 16:40:55+01:00
1-737370205,Queued + Awaiting Assignment,2012-05-01 16:48:56+01:00
1-737370205,Accepted + In Progress,2012-05-02 09:31:31+01:00
1-737370205,Accepted + Assigned,2012-05-02 09:31:34+01:00
1-737370205,Accepted + In Progress,2012-05-02 11:43:10+01:00
1-737370205,Accepted + Wait,2012-05-02 12:40:30+01:00
1-737370205,Queued + Awaiting Assignment,2012-05-02 13:01:53+01:00
1-737370205,Accepted + In Progress,2012-05-02 13:04:00+01:00
1-737370205,Accepted + Assigned,2012-05-02 13:04:25+01:00
1-737370205,Accepted + In Progress,2012-05-02 15:08:16+01:00
1-737370205,Completed + Resolved,2012-05-02 15:26:20+01:00
1-737370205,Completed + Closed,2012-05-03 00:05:29+01:00
1-737370531,Accepted + In Progress,2012-05-01 19:07:08+01:00
1-737370531,Accepted + In Progress,2012-05-01 19:07:51+01:00
1-737370531,Queued + Awaiting Assignment,2012-05-01 19:13:15+01:00
1-737370531,Accepted + In Progress,2012-05-02 14:31:36+01:00
1-737370531,Queued + Awaiting Assignment,2012-05-02 14:32:50+01:00
1-737370531,Accepted + In Progress,2012-05-02 14:40:46+01:00
1-737370531,Completed + Resolved,2012-05-04 13:36:42+01:00
1-737370531,Completed + Closed,2012-05-12 00:18:12+01:00
1-737370616,Accepted + In Progress,2012-05-01 19:46:56+01:00
1-737370616,Accepted + In Progress,2012-05-01 19:48:16+01:00
1-737370616,Completed + In Call,2012-05-01 19:48:41+01:00
1-737370789,Accepted + In Progress,2012-05-01 20:43:39+01:00
1-737370789,Accepted + In Progress,2012-05-01 20:43:56+01:00
1-737370789,Completed + In Call,2012-05-01 20:45:56+01:00
1-737370895,Accepted + In Progress,2012-05-01 21:36:31+01:00
1-737370895,Accepted + In Progress,2012-05-01 21:37:04+01:00
1-737370895,Accepted + Assigned,2012-05-01 21:37:28+01:00
1-737370895,Accepted + In Progress,2012-05-02 13:53:28+01:00
1-737370895,Accepted + Wait - User,2012-05-02 13:57:11+01:00
1-737370895,Accepted + In Progress,2012-05-03 13:53:10+01:00
1-737370895,Completed + Resolved,2012-05-03 14:33:29+01:00
1-737370895,Completed + Closed,2012-05-11 00:21:37+01:00
1-737370961,Accepted + In Progress,2012-05-01 15:53:56+01:00
1-737370961,Accepted + In Progress,2012-05-01 15:54:57+01:00
1-737370961,Completed + In Call,2012-05-01 16:47:41+01:00
1-737370993,Accepted + In Progress,2012-05-01 15:59:01+01:00
1-737370993,Accepted + In Progress,2012-05-01 16:00:46+01:00
1-737370993,Completed + In Call,2012-05-01 16:46:39+01:00
1-737371021,Accepted + In Progress,2012-05-01 16:01:57+01:00
1-737371021,Accepted + In Progress,2012-05-01 16:02:10+01:00
1-737371021,Queued + Awaiting Assignment,2012-05-01 16:27:23+01:00
1-737371021,Accepted + In Progress,2012-05-02 09:37:37+01:00
1-737371021,Accepted + Assigned,2012-05-02 09:37:41+01:00
1-737371021,Accepted + In Progress,2012-05-02 14:41:55+01:00
1-737371021,Queued + Awaiting Assignment,2012-05-02 14:50:49+01:00
1-737371021,Accepted + In Progress,2012-05-02 14:52:43+01:00
1-737371021,Completed + Resolved,2012-05-02 15:22:07+01:00
1-737371021,Completed + Closed,2012-05-03 00:05:31+01:00
1-737371071,Accepted + In Progress,2012-05-01 16:06:22+01:00
1-737371071,Accepted + In Progress,2012-05-01 16:07:44+01:00
1-737371071,Queued + Awaiting Assignment,2012-05-01 16:28:33+01:00
1-737371071,Accepted + In Progress,2012-05-02 09:36:38+01:00
1-737371071,Accepted + Assigned,2012-05-02 09:36:41+01:00
1-737371071,Accepted + In Progress,2012-05-02 14:46:12+01:00
1-737371071,Queued + Awaiting Assignment,2012-05-02 14:51:15+01:00
1-737371071,Accepted + In Progress,2012-05-02 14:53:27+01:00
1-737371071,Completed + Resolved,2012-05-02 15:26:46+01:00
1-737371071,Completed + Closed,2012-05-03 00:05:30+01:00
1-737371228,Accepted + In Progress,2012-05-01 16:26:23+01:00
1-737371228,Accepted + In Progress,2012-05-01 16:27:05+01:00
1-737371228,Completed + In Call,2012-05-01 16:41:41+01:00
1-737371235,Accepted + In Progress,2012-05-01 16:30:31+01:00
1-737371235,Accepted + In Progress,2012-05-01 16:36:10+01:00
1-737371235,Queued + Awaiting Assignment,2012-05-01 16:48:11+01:00
1-737371235,Accepted + In Progress,2012-05-02 09:32:11+01:00
1-737371235,Accepted + Assigned,2012-05-02 09:32:14+01:00
1-737371235,Accepted + In Progress,2012-05-02 13:54:32+01:00
1-737371235,Queued + Awaiting Assignment,2012-05-02 13:59:49+01:00
1-737371235,Accepted + In Progress,2012-05-02 14:01:30+01:00
1-737371235,Accepted + Assigned,2012-05-02 14:01:38+01:00
1-737371235,Accepted + In Progress,2012-05-02 15:03:48+01:00
1-737371235,Completed + Resolved,2012-05-02 15:24:51+01:00
1-737371235,Completed + Closed,2012-05-03 00:05:29+01:00
1-737371245,Accepted + In Progress,2012-05-01 16:30:55+01:00
1-737371245,Accepted + In Progress,2012-05-01 16:41:25+01:00
1-737371245,Queued + Awaiting Assignment,2012-05-01 16:49:06+01:00
1-737371245,Accepted + In Progress,2012-05-02 09:31:20+01:00
1-737371245,Accepted + Assigned,2012-05-02 09:31:25+01:00
1-737371245,Accepted + In Progress,2012-05-02 11:29:36+01:00
1-737371245,Queued + Awaiting Assignment,2012-05-02 11:42:53+01:00
1-737371245,Accepted + In Progress,2012-05-02 11:55:05+01:00
1-737371245,Accepted + Assigned,2012-05-02 11:55:15+01:00
1-737371245,Accepted + In Progress,2012-05-02 15:08:55+01:00
1-737371245,Completed + Resolved,2012-05-02 15:27:01+01:00
1-737371245,Completed + Closed,2012-05-03 00:05:28+01:00
1-737372051,Accepted + In Progress,2012-05-01 16:03:34+01:00
1-737372051,Accepted + In Progress,2012-05-01 16:03:47+01:00
1-737372051,Queued + Awaiting Assignment,2012-05-01 16:27:57+01:00
1-737372051,Accepted + In Progress,2012-05-02 09:37:15+01:00
1-737372051,Accepted + Assigned,2012-05-02 09:37:20+01:00
1-737372051,Accepted + In Progress,2012-05-02 14:43:47+01:00
1-737372051,Accepted + Assigned,2012-05-02 14:45:56+01:00
1-737372051,Accepted + In Progress,2012-05-02 15:05:35+01:00
1-737372051,Queued + Awaiting Assignment,2012-05-02 15:09:23+01:00
1-737372051,Accepted + In Progress,2012-05-02 15:09:27+01:00
1-737372051,Queued + Awaiting Assignment,2012-05-02 15:09:42+01:00
1-737372051,Accepted + In Progress,2012-05-02 17:10:24+01:00
1-737372051,Queued + Awaiting Assignment,2012-05-03 14:46:09+01:00
1-737372051,Accepted + In Progress,2012-05-03 15:03:50+01:00
1-737372051,Accepted + Assigned,2012-05-03 15:03:54+01:00
1-737372051,Accepted + In Progress,2012-05-03 15:13:07+01:00
1-737372051,Queued + Awaiting Assignment,2012-05-03 15:14:55+01:00
1-737372051,Accepted + In Progress,2012-05-03 15:46:13+01:00
1-737372051,Completed + Resolved,2012-05-03 15:47:57+01:00
1-737372051,Completed + Closed,2012-05-04 00:07:29+01:00
1-737372105,Accepted + In Progress,2012-05-01 16:30:39+01:00
1-737372105,Accepted + In Progress,2012-05-01 16:38:07+01:00
1-737372105,Queued + Awaiting Assignment,2012-05-01 16:48:30+01:00
1-737372105,Accepted + In Progress,2012-05-02 09:31:49+01:00
1-737372105,Accepted + Assigned,2012-05-02 09:31:55+01:00
1-737372105,Accepted + In Progress,2012-05-02 13:02:02+01:00
1-737372105,Accepted + Wait,2012-05-02 13:11:20+01:00
1-737372105,Accepted + In Progress,2012-05-02 13:50:21+01:00
1-737372105,Queued + Awaiting Assignment,2012-05-02 13:50:27+01:00
1-737372105,Accepted + In Progress,2012-05-02 14:01:04+01:00
1-737372105,Accepted + Assigned,2012-05-02 14:01:18+01:00
1-737372105,Accepted + In Progress,2012-05-02 15:04:52+01:00
1-737372105,Completed + Resolved,2012-05-02 15:25:26+01:00
1-737372105,Completed + Closed,2012-05-03 00:05:29+01:00
1-737372793,Accepted + In Progress,2012-05-02 00:29:12+01:00
1-737372793,Accepted + In Progress,2012-05-02 00:32:02+01:00
1-737372793,Queued + Awaiting Assignment,2012-05-02 00:38:53+01:00
1-737372793,Accepted + In Progress,2012-05-02 05:41:25+01:00
1-737372793,Accepted + Assigned,2012-05-02 05:41:49+01:00
1-737372793,Accepted + In Progress,2012-05-02 23:56:08+01:00
1-737372793,Completed + Resolved,2012-05-02 23:57:09+01:00
1-737372793,Accepted + In Progress,2012-05-04 00:17:49+01:00
1-737372793,Accepted + Assigned,2012-05-04 00:18:04+01:00
1-737372793,Accepted + In Progress,2012-05-04 01:42:00+01:00
1-737372793,Completed + Resolved,2012-05-04 01:57:10+01:00
1-737372793,Completed + Closed,2012-05-12 00:18:11+01:00
1-737373550,Queued + Awaiting Assignment,2012-05-01 19:01:32+01:00
1-737373550,Accepted + In Progress,2012-05-01 19:04:15+01:00
1-737373550,Queued + Awaiting Assignment,2012-05-01 19:11:39+01:00
1-737373550,Accepted + In Progress,2012-05-01 20:36:10+01:00
1-737373550,Completed + Resolved,2012-05-01 20:36:48+01:00
1-737373550,Completed + Closed,2012-05-09 00:11:41+01:00
1-737373821,Queued + Awaiting Assignment,2012-05-01 20:00:28+01:00
1-737373821,Accepted + In Progress,2012-05-01 20:24:18+01:00
1-737373821,Queued + Awaiting Assignment,2012-05-01 20:26:13+01:00
1-737373821,Accepted + In Progress,2012-05-03 15:19:33+01:00
1-737373821,Completed + Resolved,2012-05-03 15:20:47+01:00
1-737373821,Completed + Closed,2012-05-11 00:21:38+01:00
1-737374965,Accepted + In Progress,2012-05-01 16:04:59+01:00
1-737374965,Accepted + In Progress,2012-05-01 16:05:08+01:00
1-737374965,Completed + In Call,2012-05-01 16:05:23+01:00
1-737375001,Accepted + In Progress,2012-05-01 16:13:00+01:00
1-737375001,Accepted + In Progress,2012-05-01 16:13:02+01:00
1-737375001,Completed + In Call,2012-05-01 16:13:04+01:00
1-737375055,Accepted + In Progress,2012-05-01 16:40:25+01:00
1-737375055,Accepted + In Progress,2012-05-01 16:42:44+01:00
1-737375055,Completed + In Call,2012-05-01 16:53:46+01:00
1-737375093,Accepted + In Progress,2012-05-01 18:02:45+01:00
1-737375093,Accepted + In Progress,2012-05-01 18:03:52+01:00
1-737375093,Accepted + In Progress,2012-05-01 18:08:27+01:00
1-737375093,Queued + Awaiting Assignment,2012-05-01 18:11:35+01:00
1-737375093,Accepted + In Progress,2012-05-02 00:34:40+01:00
1-737375093,Queued + Awaiting Assignment,2012-05-02 00:41:33+01:00
1-737375093,Accepted + In Progress,2012-05-02 01:38:22+01:00
1-737375093,Queued + Awaiting Assignment,2012-05-02 02:03:04+01:00
1-737375093,Accepted + In Progress,2012-05-02 13:51:36+01:00
1-737375093,Accepted + Assigned,2012-05-02 13:53:00+01:00
1-737375093,Accepted + In Progress,2012-05-03 19:59:00+01:00
1-737375093,Accepted + Wait - User,2012-05-03 19:59:55+01:00
1-737375093,Queued + Awaiting Assignment,2012-05-03 20:38:51+01:00
1-737375093,Accepted + In Progress,2012-05-03 20:47:47+01:00
1-737375093,Queued + Awaiting Assignment,2012-05-03 20:51:41+01:00
1-737375093,Accepted + In Progress,2012-05-03 20:56:41+01:00
1-737375093,Accepted + Assigned,2012-05-03 20:56:54+01:00
1-737375093,Accepted + In Progress,2012-05-03 21:18:50+01:00
1-737375093,Completed + Resolved,2012-05-07 19:48:11+01:00
1-737375093,Completed + Closed,2012-05-15 00:21:23+01:00
1-737375185,Accepted + In Progress,2012-05-01 18:51:07+01:00
1-737375185,Accepted + In Progress,2012-05-01 18:52:29+01:00
1-737375185,Completed + In Call,2012-05-01 19:25:28+01:00
1-737375232,Accepted + In Progress,2012-05-01 19:25:33+01:00
1-737375232,Accepted + In Progress,2012-05-01 19:26:30+01:00
1-737375232,Accepted + In Progress,2012-05-01 19:41:55+01:00
1-737375232,Queued + Awaiting Assignment,2012-05-01 19:42:41+01:00
1-737375232,Accepted + In Progress,2012-05-02 09:14:55+01:00
1-737375232,Completed + Resolved,2012-05-02 09:23:29+01:00
1-737375232,Completed + Closed,2012-05-10 00:15:42+01:00
1-737375310,Accepted + In Progress,2012-05-01 20:17:52+01:00
1-737375310,Accepted + In Progress,2012-05-01 20:19:32+01:00
1-737375310,Queued + Awaiting Assignment,2012-05-01 20:23:46+01:00
1-737375310,Accepted + In Progress,2012-05-02 05:58:17+01:00
1-737375310,Queued + Awaiting Assignment,2012-05-02 06:09:42+01:00
1-737375310,Accepted + In Progress,2012-05-02 06:14:05+01:00
1-737375310,Accepted + Wait - User,2012-05-02 07:06:40+01:00
1-737375310,Accepted + In Progress,2012-05-02 13:47:43+01:00
1-737375310,Completed + Resolved,2012-05-02 13:48:21+01:00
1-737375310,Completed + Closed,2012-05-10 00:15:40+01:00
1-737375452,Accepted + In Progress,2012-05-01 22:22:12+01:00
1-737375452,Accepted + In Progress,2012-05-01 22:22:46+01:00
1-737375452,Queued + Awaiting Assignment,2012-05-01 22:24:53+01:00
1-737375452,Accepted + In Progress,2012-05-03 00:01:09+01:00
1-737375452,Accepted + In Progress,2012-05-03 00:01:20+01:00
1-737375452,Completed + Resolved,2012-05-03 00:01:41+01:00
1-737375452,Completed + Closed,2012-05-10 00:15:36+01:00
1-737375500,Accepted + In Progress,2012-05-01 21:57:22+01:00
1-737375500,Accepted + In Progress,2012-05-01 21:58:47+01:00
1-737375500,Queued + Awaiting Assignment,2012-05-01 22:07:50+01:00
1-737375500,Accepted + In Progress,2012-05-01 22:09:51+01:00
1-737375500,Queued + Awaiting Assignment,2012-05-01 22:10:38+01:00
1-737375500,Accepted + Assigned,2012-05-02 17:15:31+01:00
1-737375500,Accepted + Wait - User,2012-05-07 13:04:47+01:00
1-737375500,Accepted + Assigned,2012-05-11 20:40:34+01:00
1-737375500,Accepted + Wait - User,2012-05-14 15:47:49+01:00
1-737375500,Completed + Resolved,2012-05-15 16:50:21+01:00
1-737378014,Accepted + In Progress,2012-05-01 16:25:48+01:00
1-737378014,Accepted + In Progress,2012-05-01 16:27:41+01:00
1-737378014,Queued + Awaiting Assignment,2012-05-01 16:48:26+01:00
1-737378014,Accepted + In Progress,2012-05-01 16:49:45+01:00
1-737378014,Queued + Awaiting Assignment,2012-05-01 16:53:37+01:00
1-737378014,Accepted + In Progress,2012-05-03 14:17:17+01:00
1-737378014,Queued + Awaiting Assignment,2012-05-03 14:20:53+01:00
1-737378014,Accepted + In Progress,2012-05-03 14:22:11+01:00
1-737378014,Queued + Awaiting Assignment,2012-05-03 14:22:52+01:00
1-737378014,Accepted + In Progress,2012-05-03 14:36:55+01:00
1-737378014,Queued + Awaiting Assignment,2012-05-03 14:37:35+01:00
1-737378014,Accepted + In Progress,2012-05-03 15:24:25+01:00
1-737378014,Completed + Resolved,2012-05-03 15:28:12+01:00
1-737378014,Completed + Closed,2012-05-04 00:07:29+01:00
1-737378070,Accepted + In Progress,2012-05-01 16:50:41+01:00
1-737378070,Accepted + In Progress,2012-05-01 16:52:35+01:00
1-737378070,Accepted + In Progress,2012-05-01 16:56:37+01:00
1-737378070,Queued + Awaiting Assignment,2012-05-01 17:00:07+01:00
1-737378070,Accepted + In Progress,2012-05-01 22:06:16+01:00
1-737378070,Accepted + Assigned,2012-05-01 22:08:48+01:00
1-737378070,Accepted + In Progress,2012-05-02 13:05:57+01:00
1-737378070,Accepted + Wait - Implementation,2012-05-02 13:41:40+01:00
1-737378070,Accepted + Wait - User,2012-05-02 19:37:09+01:00
1-737378070,Accepted + In Progress,2012-05-04 19:25:01+01:00
1-737378070,Completed + Resolved,2012-05-04 19:25:09+01:00
1-737378070,Completed + Closed,2012-05-12 00:18:14+01:00
1-737378718,Accepted + In Progress,2012-05-01 19:06:13+01:00
1-737378718,Accepted + In Progress,2012-05-01 19:06:25+01:00
1-737378718,Queued + Awaiting Assignment,2012-05-01 19:08:17+01:00
1-737378718,Accepted + In Progress,2012-05-02 07:16:13+01:00
1-737378718,Queued + Awaiting Assignment,2012-05-02 07:19:10+01:00
1-737378718,Queued + Awaiting Assignment,2012-05-02 07:19:11+01:00
1-737378718,Accepted + In Progress,2012-05-02 07:27:18+01:00
1-737378718,Queued + Awaiting Assignment,2012-05-02 08:25:54+01:00
1-737378718,Accepted + In Progress,2012-05-02 08:26:55+01:00
1-737378718,Accepted + Wait - User,2012-05-02 08:27:01+01:00
1-737378718,Completed + Resolved,2012-05-02 11:09:05+01:00
1-737378718,Completed + Closed,2012-05-10 00:15:43+01:00
1-737378789,Accepted + In Progress,2012-05-01 18:59:58+01:00
1-737378789,Accepted + In Progress,2012-05-01 19:03:53+01:00
1-737378789,Completed + Resolved,2012-05-01 19:08:48+01:00
1-737378789,Completed + Closed,2012-05-09 00:11:42+01:00
1-737378794,Accepted + In Progress,2012-05-01 18:01:49+01:00
1-737378794,Accepted + In Progress,2012-05-01 18:04:02+01:00
1-737378794,Completed + In Call,2012-05-01 18:18:05+01:00
1-737378794,Accepted + In Progress,2012-05-02 10:00:09+01:00
1-737378794,Completed + Resolved,2012-05-02 10:11:14+01:00
1-737378794,Completed + Closed,2012-05-03 00:05:26+01:00
1-737378916,Accepted + In Progress,2012-05-01 16:34:01+01:00
1-737378916,Accepted + In Progress,2012-05-01 16:45:02+01:00
1-737378916,Completed + In Call,2012-05-01 16:45:12+01:00
1-737378924,Accepted + In Progress,2012-05-01 18:38:18+01:00
1-737378924,Accepted + In Progress,2012-05-01 18:39:34+01:00
1-737378924,Completed + In Call,2012-05-01 18:48:56+01:00
1-737378939,Accepted + In Progress,2012-05-01 16:30:09+01:00
1-737378939,Accepted + In Progress,2012-05-01 16:33:13+01:00
1-737378939,Queued + Awaiting Assignment,2012-05-01 16:47:07+01:00
1-737378939,Accepted + In Progress,2012-05-02 09:33:21+01:00
1-737378939,Accepted + Assigned,2012-05-02 09:33:25+01:00
1-737378939,Accepted + In Progress,2012-05-02 14:51:25+01:00
1-737378939,Accepted + Assigned,2012-05-02 14:53:31+01:00
1-737378939,Accepted + In Progress,2012-05-02 15:01:44+01:00
1-737378939,Queued + Awaiting Assignment,2012-05-02 15:07:17+01:00
1-737378939,Accepted + In Progress,2012-05-02 17:10:03+01:00
1-737378939,Queued + Awaiting Assignment,2012-05-03 14:44:42+01:00
1-737378939,Accepted + In Progress,2012-05-03 15:01:20+01:00
1-737378939,Accepted + Assigned,2012-05-03 15:01:26+01:00
1-737378939,Accepted + In Progress,2012-05-03 15:01:47+01:00
1-737378939,Queued + Awaiting Assignment,2012-05-03 15:02:39+01:00
1-737378939,Accepted + In Progress,2012-05-03 15:46:29+01:00
1-737378939,Completed + Resolved,2012-05-03 15:48:08+01:00
1-737378939,Completed + Closed,2012-05-04 00:07:28+01:00
1-737378992,Accepted + In Progress,2012-05-01 16:58:36+01:00
1-737378992,Accepted + In Progress,2012-05-01 17:00:04+01:00
1-737378992,Completed + In Call,2012-05-01 17:02:03+01:00
1-737379081,Accepted + In Progress,2012-05-01 17:16:13+01:00
1-737379081,Accepted + In Progress,2012-05-01 17:17:57+01:00
1-737379081,Queued + Awaiting Assignment,2012-05-01 17:18:09+01:00
1-737379081,Accepted + In Progress,2012-05-01 18:21:41+01:00
1-737379081,Completed + Resolved,2012-05-03 20:25:11+01:00
1-737379081,Completed + Closed,2012-05-11 00:21:40+01:00
1-737379124,Accepted + In Progress,2012-05-01 17:53:22+01:00
1-737379124,Accepted + In Progress,2012-05-01 17:57:48+01:00
1-737379124,Completed + In Call,2012-05-01 17:57:56+01:00
1-737379287,Accepted + In Progress,2012-05-01 19:20:14+01:00
1-737379287,Accepted + In Progress,2012-05-01 19:22:30+01:00
1-737379287,Completed + In Call,2012-05-01 22:16:05+01:00
1-737379308,Accepted + In Progress,2012-05-01 19:07:09+01:00
1-737379308,Accepted + In Progress,2012-05-01 19:17:16+01:00
1-737379308,Queued + Awaiting Assignment,2012-05-01 19:17:57+01:00
1-737379308,Accepted + In Progress,2012-05-01 21:14:13+01:00
1-737379308,Queued + Awaiting Assignment,2012-05-01 21:19:23+01:00
1-737379308,Accepted + In Progress,2012-05-02 07:50:27+01:00
1-737379308,Accepted + Assigned,2012-05-02 07:50:36+01:00
1-737379308,Accepted + In Progress,2012-05-02 11:30:20+01:00
1-737379308,Accepted + Wait - User,2012-05-02 11:30:30+01:00
1-737379308,Completed + Resolved,2012-05-03 07:03:38+01:00
1-737379308,Completed + Closed,2012-05-11 00:21:39+01:00
1-737379413,Accepted + In Progress,2012-05-01 20:35:52+01:00
1-737379413,Accepted + In Progress,2012-05-01 20:44:44+01:00
1-737379413,Completed + In Call,2012-05-01 20:44:59+01:00
1-737379459,Accepted + In Progress,2012-05-01 21:11:33+01:00
